NoLAIclasses	10													
	ID	LAND-USE	Jan.	Feb.	Mar.	Apr.	May	Jun.	Jul.	Aug.	Sep.	Oct.	Nov.	Dec.
	1	Coniferous-forest	6.42	6.42	6.42	6.42	6.42	6.42	6.42	6.42	6.42	6.42	6.42	6.42
	2	Deciduous-forest	0.29	0.29	0.88	2.33	4.08	6.42	7.00	7.00	6.42	4.67	0.88	0.29
	3	Mixed-forest	1.75	1.75	2.33	3.50	4.67	6.42	6.71	6.71	6.42	5.25	2.33	1.75
	4	Sparsely-populated-forest	1.17	1.17	1.75	3.21	3.79	4.38	4.38	4.38	3.79	2.33	1.46	1.17
	5	Sealed-Water-bodies	1.17	1.17	1.75	2.33	2.92	2.92	2.92	2.92	2.92	1.75	1.46	1.17
	6	Viniculture	0.58	0.58	0.58	0.88	1.17	2.04	2.33	2.33	2.33	0.88	0.58	0.58
	7	Intensive-orchards	1.17	1.17	1.17	1.17	1.75	2.04	2.33	2.33	2.33	1.46	1.17	1.17
	8	Pasture	1.17	1.17	1.75	2.33	2.92	2.92	2.92	2.92	2.92	1.75	1.46	1.17
	9	Fields	0.23	0.23	0.18	0.41	1.75	3.03	2.68	1.81	0.76	0.12	0.00	0.00
	10	Wetlands	0.01	0.01	0.01	0.02	0.04	0.05	0.05	0.04	0.04	0.02	0.01	0.01
