mhm-LAI	degradN_rate	mineraN_rate	dissolN_rate	init_concIN	init_concON	Init_fastN	init_humusN	hnhalf  uppsoil								
1	0.00013	0.00008	150.000	5.0	0.0	20	8032.98	1.6500	1
2	0.00001	0.01	95.6139	5.0	0.0	300	8032.98	0.4013	0.24
3	0.001	0.0313	60.0000	5.0	0.0	80	8032.98	0.4000	0.94
4	0.0001	0.00006	6.7867	5.0	0.0	162	8032.98	0.1515	0.15
5	0.00002	0.00011	81.3540	5.0	0.0	414	8032.98	0.1425	0.186
6	0.00001	0.00164	10.9264	25.0	0.0	153	8032.98	0.1177	0.15
7	0.00002	0.00122	79.5687	25.0	0.0	260	8032.98	0.0553	0.5
8	0.00014	0.000005	11.7602	8.0	0.0	100	8032.98	0.0790	0.175
9	0.0001	0.00005	50.0000	25.0	0.0	200	8032.98	0.3380	1
10	0.00001	0.00006	9.1745	0.5	0.0	223	8032.98	0.0373	0.166
																		
