      No     Day     Mon    Year  INConcob0000001  INConcsi0000001  INConcob0000002  INConcsi0000002  INConcob0000003  INConcsi0000003
       1       1       1    1997    -9999.0000000        5.2631003    -9999.0000000        2.6442873    -9999.0000000        2.1446170
       2       2       1    1997    -9999.0000000        5.3537234    -9999.0000000        2.6270018    -9999.0000000        2.0982232
       3       3       1    1997    -9999.0000000        5.4467565    -9999.0000000        2.6095429    -9999.0000000        2.0497481
       4       4       1    1997    -9999.0000000        5.5413445    -9999.0000000        2.5919757    -9999.0000000        1.9995948
       5       5       1    1997    -9999.0000000        5.6368371    -9999.0000000        2.5744114    -9999.0000000        1.9481583
       6       6       1    1997    -9999.0000000        5.7327454    -9999.0000000        2.5569760    -9999.0000000        1.8958190
       7       7       1    1997    -9999.0000000        5.8286926    -9999.0000000        2.5397960    -9999.0000000        1.8429385
       8       8       1    1997    -9999.0000000        5.9243771    -9999.0000000        2.5229901    -9999.0000000        1.7898556
       9       9       1    1997    -9999.0000000        6.0195473    -9999.0000000        2.5066661    -9999.0000000        1.7368830
      10      10       1    1997    -9999.0000000        6.1139876    -9999.0000000        2.4909192    -9999.0000000        1.6843053
      11      11       1    1997    -9999.0000000        6.2075103    -9999.0000000        2.4758313    -9999.0000000        1.6323777
      12      12       1    1997    -9999.0000000        6.2999516    -9999.0000000        2.4614712    -9999.0000000        1.5813253
      13      13       1    1997    -9999.0000000        5.9153837    -9999.0000000        2.6343669        1.8700000        1.7384319
      14      14       1    1997    -9999.0000000        6.1575441    -9999.0000000        2.6399461    -9999.0000000        2.0257217
      15      15       1    1997    -9999.0000000        6.0748439    -9999.0000000        2.6276089    -9999.0000000        1.9990935
      16      16       1    1997    -9999.0000000        5.9534406    -9999.0000000        2.6311434    -9999.0000000        1.9668018
      17      17       1    1997    -9999.0000000        5.7959433    -9999.0000000        2.5612537    -9999.0000000        2.1709969
      18      18       1    1997    -9999.0000000        5.4766496    -9999.0000000        2.7839496    -9999.0000000        2.2398369
      19      19       1    1997    -9999.0000000        5.5411334    -9999.0000000        2.9535747    -9999.0000000        2.5938791
      20      20       1    1997    -9999.0000000        5.7522852    -9999.0000000        2.8709419    -9999.0000000        2.5879804
      21      21       1    1997    -9999.0000000        5.7602256    -9999.0000000        2.8606498    -9999.0000000        2.5747737
      22      22       1    1997    -9999.0000000        5.4104215    -9999.0000000        2.7065203    -9999.0000000        2.8655774
      23      23       1    1997    -9999.0000000        5.1172308    -9999.0000000        2.8022812    -9999.0000000        3.2383309
      24      24       1    1997    -9999.0000000        4.7213444    -9999.0000000        2.8774841    -9999.0000000        2.9141596
      25      25       1    1997    -9999.0000000        4.6849252    -9999.0000000        3.1276915    -9999.0000000        2.7303431
      26      26       1    1997    -9999.0000000        4.8023583    -9999.0000000        3.0471572    -9999.0000000        2.6836875
      27      27       1    1997    -9999.0000000        4.7170658    -9999.0000000        2.9759050    -9999.0000000        2.6692896
      28      28       1    1997        4.2500000        4.6977371    -9999.0000000        2.9222012    -9999.0000000        2.6503195
      29      29       1    1997    -9999.0000000        4.7090983    -9999.0000000        2.8727213    -9999.0000000        2.6606583
      30      30       1    1997    -9999.0000000        4.7138950    -9999.0000000        2.8177815    -9999.0000000        2.6620467
      31      31       1    1997    -9999.0000000        4.7255322    -9999.0000000        2.7898205    -9999.0000000        2.6465708
      32       1       2    1997    -9999.0000000        4.7155909    -9999.0000000        2.7736471    -9999.0000000        2.6131247
      33       2       2    1997    -9999.0000000        4.7302346    -9999.0000000        2.7608066    -9999.0000000        2.5750587
      34       3       2    1997    -9999.0000000        4.7685870    -9999.0000000        2.7463542    -9999.0000000        2.5330328
      35       4       2    1997    -9999.0000000        4.8045965    -9999.0000000        2.7190752    -9999.0000000        2.7394862
      36       5       2    1997    -9999.0000000        5.0827670    -9999.0000000        3.1002728    -9999.0000000        2.7193182
      37       6       2    1997        4.0000000        5.5565463        2.4100000        3.0477849        2.5800000        2.7495450
      38       7       2    1997    -9999.0000000        5.5950356    -9999.0000000        2.9474330    -9999.0000000        3.0947994
      39       8       2    1997    -9999.0000000        5.5491937    -9999.0000000        2.9553207    -9999.0000000        3.2329981
      40       9       2    1997    -9999.0000000        5.3176309    -9999.0000000        2.9853583    -9999.0000000        3.0838367
      41      10       2    1997    -9999.0000000        5.0039308    -9999.0000000        2.9623155    -9999.0000000        2.7690245
      42      11       2    1997    -9999.0000000        4.8054816    -9999.0000000        2.9714549    -9999.0000000        2.8286414
      43      12       2    1997    -9999.0000000        4.8074841    -9999.0000000        2.9921569    -9999.0000000        2.9675230
      44      13       2    1997    -9999.0000000        4.7695490    -9999.0000000        2.9808997    -9999.0000000        2.9655636
      45      14       2    1997    -9999.0000000        4.5238724    -9999.0000000        2.9695515    -9999.0000000        2.9272619
      46      15       2    1997    -9999.0000000        4.2601626    -9999.0000000        2.9737783    -9999.0000000        3.0008262
      47      16       2    1997    -9999.0000000        4.1266404    -9999.0000000        2.9698227    -9999.0000000        2.9316853
      48      17       2    1997    -9999.0000000        4.0660297    -9999.0000000        2.9972523    -9999.0000000        3.1254295
      49      18       2    1997    -9999.0000000        4.1265205    -9999.0000000        3.0447133    -9999.0000000        3.0717183
      50      19       2    1997    -9999.0000000        4.2277331    -9999.0000000        3.0547805    -9999.0000000        2.9616946
      51      20       2    1997    -9999.0000000        4.1106040    -9999.0000000        2.9913196    -9999.0000000        2.8961832
      52      21       2    1997    -9999.0000000        3.8950960    -9999.0000000        2.9612326    -9999.0000000        2.9183360
      53      22       2    1997    -9999.0000000        3.7618225    -9999.0000000        2.9354401    -9999.0000000        2.9007504
      54      23       2    1997    -9999.0000000        3.6641991    -9999.0000000        2.9175810    -9999.0000000        2.9383482
      55      24       2    1997    -9999.0000000        3.6638430    -9999.0000000        2.9484740    -9999.0000000        2.9352146
      56      25       2    1997    -9999.0000000        3.8391438    -9999.0000000        3.0201430    -9999.0000000        2.8861295
      57      26       2    1997    -9999.0000000        3.9860611    -9999.0000000        2.8988317    -9999.0000000        2.7375267
      58      27       2    1997        3.5600000        3.8603218    -9999.0000000        2.7954884    -9999.0000000        2.6834876
      59      28       2    1997    -9999.0000000        3.6147248    -9999.0000000        2.7729535    -9999.0000000        2.7312171
      60       1       3    1997    -9999.0000000        3.4678327    -9999.0000000        2.7799523    -9999.0000000        2.8038362
      61       2       3    1997    -9999.0000000        3.4308893    -9999.0000000        2.8220416    -9999.0000000        2.9101094
      62       3       3    1997    -9999.0000000        3.4824918    -9999.0000000        2.8760685    -9999.0000000        3.0129505
      63       4       3    1997    -9999.0000000        3.5887692    -9999.0000000        2.9091673    -9999.0000000        3.0442497
      64       5       3    1997    -9999.0000000        3.7350425    -9999.0000000        2.9175334    -9999.0000000        3.0302994
      65       6       3    1997    -9999.0000000        3.8905041    -9999.0000000        2.9057210    -9999.0000000        3.0036423
      66       7       3    1997    -9999.0000000        4.0291125    -9999.0000000        2.8799244    -9999.0000000        2.9692932
      67       8       3    1997    -9999.0000000        4.1350922    -9999.0000000        2.8431384    -9999.0000000        2.9276219
      68       9       3    1997    -9999.0000000        4.2093037    -9999.0000000        2.8039393    -9999.0000000        2.8796158
      69      10       3    1997    -9999.0000000        4.2609145    -9999.0000000        2.7525941    -9999.0000000        2.8250478
      70      11       3    1997    -9999.0000000        4.2994203    -9999.0000000        2.6987494    -9999.0000000        2.7662162
      71      12       3    1997    -9999.0000000        4.3306556    -9999.0000000        2.6401818    -9999.0000000        2.7022303
      72      13       3    1997    -9999.0000000        4.3564145    -9999.0000000        2.5761990    -9999.0000000        2.6339051
      73      14       3    1997    -9999.0000000        4.3963658    -9999.0000000        2.5421554    -9999.0000000        2.5914602
      74      15       3    1997    -9999.0000000        4.5311502    -9999.0000000        2.6166058    -9999.0000000        2.6052367
      75      16       3    1997    -9999.0000000        5.2124613    -9999.0000000        3.0833704    -9999.0000000        2.7982795
      76      17       3    1997        4.0500000        5.4946002        2.4000000        3.0231332        2.3600000        2.7228735
