      No     Day     Mon    Year  Qobs_0000000001  Qsim_0000000001  Qobs_0000000002  Qsim_0000000002  Qobs_0000000003  Qsim_0000000003
       1       1       1    1997        1.8000000        1.3110048        1.9600000        0.9512376        1.4900000        0.5300126
       2       2       1    1997        1.7300000        1.2052544        1.9600000        0.8816051        1.3800000        0.4915945
       3       3       1    1997        1.8000000        1.1135500        1.8600000        0.8206173        1.2900000        0.4579300
       4       4       1    1997        2.0200000        1.0336302        1.8600000        0.7669743        1.2900000        0.4283203
       5       5       1    1997        2.0200000        0.9636581        1.7700000        0.7196035        0.8700000        0.4021846
       6       6       1    1997        2.0200000        0.9021307        1.6800000        0.6776139        0.8000000        0.3790378
       7       7       1    1997        1.9400000        0.8478095        1.5900000        0.6402615        0.8000000        0.3584726
       8       8       1    1997        1.9400000        0.7996671        1.5900000        0.6069216        0.7400000        0.3401452
       9       9       1    1997        2.0900000        0.7568469        1.5000000        0.5770671        0.7400000        0.3237645
      10      10       1    1997        2.0900000        0.7186298        1.5000000        0.5502510        0.7400000        0.3090827
      11      11       1    1997        2.0900000        0.6844098        1.5000000        0.5260927        0.7400000        0.2958882
      12      12       1    1997        1.8700000        0.6536735        1.3400000        0.5042667        0.6700000        0.2839995
      13      13       1    1997        1.8700000        0.7167384        1.2600000        0.7002161        0.6700000        0.3126673
      14      14       1    1997        2.0900000        0.7561579        1.3400000        0.6589793        0.6700000        0.4005263
      15      15       1    1997        1.9400000        0.7618584        1.3400000        0.7228697        0.6700000        0.3875403
      16      16       1    1997        1.8000000        0.7894617        1.2600000        0.7206335        0.6200000        0.3585000
      17      17       1    1997        1.6600000        0.8095611        1.1800000        0.7349971        0.5600000        0.4389091
      18      18       1    1997        1.7300000        0.9374338        1.1800000        0.8913983        0.5600000        0.4764636
      19      19       1    1997        1.7300000        1.5175774        1.0400000        1.2567492        0.5600000        0.7231555
      20      20       1    1997        2.0200000        1.8438756        1.1100000        1.4309987        0.6700000        0.7484837
      21      21       1    1997        1.8000000        1.7413553        1.1800000        1.4684596        0.6700000        0.6746564
      22      22       1    1997        1.5900000        1.7315257        1.0400000        1.7042457        0.6700000        1.2558442
      23      23       1    1997        1.8700000        1.8706358        1.3400000        2.3816141        1.2000000        1.9730233
      24      24       1    1997        3.1300000        2.2524847        2.4800000        3.0395033        1.7900000        2.0853333
      25      25       1    1997        3.3200000        3.3418514        2.7000000        3.7500367        1.8900000        1.7989682
      26      26       1    1997        3.3200000        4.1072383        2.7000000        3.2451709        1.7900000        1.5012947
      27      27       1    1997        3.1300000        4.0307781        2.5900000        2.8335057        1.6000000        1.3120625
      28      28       1    1997        2.8500000        3.6712960        2.2600000        2.4822999        1.4900000        1.1706819
      29      29       1    1997        2.8500000        3.2525353        2.0600000        2.2788332        1.4900000        1.0798826
      30      30       1    1997        2.6700000        2.8856964        1.9600000        2.1307937        1.4900000        0.9912206
      31      31       1    1997        2.5800000        2.6151948        1.8600000        1.9871603        1.3800000        0.8947899
      32       1       2    1997        2.5800000        2.4099272        1.8600000        1.8058853        1.2900000        0.8142223
      33       2       2    1997        2.0900000        2.2249700        1.6800000        1.6296547        1.3800000        0.7444119
      34       3       2    1997        2.1700000        2.0370957        1.9600000        1.4795699        1.2900000        0.6836013
      35       4       2    1997        2.3300000        1.8643218        1.5900000        1.4288185        1.2000000        0.7599458
      36       5       2    1997        2.3300000        2.0791542        1.5900000        1.7256499        1.2900000        0.6900550
      37       6       2    1997        2.3300000        2.2468463        1.5900000        1.5577950        1.2900000        0.6787761
      38       7       2    1997        2.1700000        2.1114114        1.5000000        1.6857009        1.1100000        1.0324254
      39       8       2    1997        2.0900000        2.0049338        1.5000000        1.9752870        1.2000000        1.3707271
      40       9       2    1997        2.0900000        2.0563271        1.7700000        2.2462784        1.6000000        1.7154657
      41      10       2    1997        2.6700000        2.2454397        2.3700000        2.5203073        2.2000000        2.0241367
      42      11       2    1997        3.7400000        2.6702986        3.4400000        2.9681924        2.9100000        2.5655373
      43      12       2    1997        4.2900000        3.3907883        3.7000000        3.6681650        3.2600000        3.9163240
      44      13       2    1997        6.6600000        3.9266463        6.4800000        4.5807614        5.4300000        4.5520867
      45      14       2    1997        8.4000000        4.3301179        7.1100000        5.2870646        5.7500000        3.7596248
      46      15       2    1997        7.5800000        4.9086915        5.6900000        5.2202325        4.8300000        3.0079879
      47      16       2    1997        6.2200000        5.3426530        4.6100000        4.5175477        4.0000000        2.2589948
      48      17       2    1997        5.2700000        5.3214942        3.9800000        4.0159295        3.6200000        2.8105914
      49      18       2    1997        5.1400000        5.0927589        4.9600000        4.4463470        5.1200000        5.5588257
      50      19       2    1997        7.5800000        5.0344633        7.1100000        6.5092663        5.9100000        7.2649690
      51      20       2    1997        8.4000000        5.5885348        7.7700000        8.1077376        5.9100000        6.0961941
      52      21       2    1997        9.0900000        6.7978596        7.5500000        8.3996233        5.4300000        5.4494751
      53      22       2    1997        9.0900000        7.9099318        7.3300000        7.5159656        5.4300000        4.2148032
      54      23       2    1997        8.5700000        8.2220039        6.4800000        6.2600165        4.8300000        3.0206760
      55      24       2    1997        7.9000000        7.6865463        5.6900000        5.3571280        4.4100000        3.1867672
      56      25       2    1997        8.0600000        7.1577867        6.8900000        7.0517505        5.7500000        7.9733202
      57      26       2    1997       10.9500000        7.5085612        9.7100000       10.6889610        7.4800000       10.3944432
      58      27       2    1997       13.6700000        8.8558198       12.1800000       13.1250113        8.8500000        8.2762709
      59      28       2    1997       13.9000000       10.8556814        9.7100000       12.5271504        7.2900000        5.7813225
      60       1       3    1997       11.1500000       12.3171200        8.2300000        9.9180969        5.7500000        4.1188197
      61       2       3    1997        9.0900000       12.0884010        6.6800000        7.3540584        4.9800000        3.0726163
      62       3       3    1997        7.5800000       10.3378212        5.3200000        5.5419626        4.1300000        2.3249818
      63       4       3    1997        6.2200000        8.1155811        4.2800000        4.3296892        3.5000000        1.8999922
      64       5       3    1997        5.0100000        6.2264928        3.8400000        3.5341498        3.0400000        1.6771011
      65       6       3    1997        4.4100000        4.8794213        3.3100000        3.0216988        2.7800000        1.4948755
      66       7       3    1997        3.8400000        3.9757582        2.9400000        2.6699405        2.5400000        1.3404419
      67       8       3    1997        3.5300000        3.3727337        2.8200000        2.3919206        2.3100000        1.2087567
      68       9       3    1997        3.2200000        2.9542633        2.7000000        2.1570996        2.2000000        1.0958365
      69      10       3    1997        3.0300000        2.6387993        2.4800000        1.9548133        1.9900000        0.9985062
      70      11       3    1997        2.7600000        2.3810989        2.2600000        1.7805873        1.8900000        0.9142125
      71      12       3    1997        2.5800000        2.1618424        2.1600000        1.6297847        1.7900000        0.8408862
      72      13       3    1997        2.4900000        1.9729270        2.0600000        1.4986369        1.7100000        0.7768376
      73      14       3    1997        2.4100000        1.8128888        1.7700000        1.4025781        1.6000000        0.7370899
      74      15       3    1997        2.3300000        1.6985644        1.7700000        1.4591349        1.3800000        0.8114236
      75      16       3    1997        2.1700000        2.2758708        1.7700000        2.3967282        1.3800000        1.3927458
      76      17       3    1997        2.7600000        2.8191282        2.1600000        2.6434949        1.7900000        1.3770895
      77      18       3    1997        2.5800000        2.9405922        2.0600000        2.7675765        1.4900000        1.3125851
      78      19       3    1997        2.5800000        3.5085649        2.1600000        3.2839158        1.6000000        1.5996425
      79      20       3    1997        2.9400000        3.9132901        2.2600000        3.1417413        1.6000000        1.5075910
      80      21       3    1997        2.8500000        4.1748411        2.1600000        3.7606134        1.6000000        1.5698086
      81      22       3    1997        3.1300000        4.3331817        2.3700000        3.4956983        1.6000000        1.4543993
      82      23       3    1997        3.2200000        4.7194227        2.4800000        3.5250435        1.4900000        1.2986627
      83      24       3    1997        3.3200000        4.7919790        2.4800000        3.1307009        1.6000000        1.3370507
      84      25       3    1997        3.4200000        4.3435067        2.5900000        2.9864686        1.7100000        1.5721255
      85      26       3    1997        3.4200000        3.9222460        2.5900000        3.0165000        1.7900000        1.6887548
      86      27       3    1997        3.3200000        3.6860582        2.5900000        3.0586276        1.7100000        1.6718408
      87      28       3    1997        3.3200000        3.7974285        2.4800000        3.1717465        1.7100000        1.8326813
      88      29       3    1997        3.4200000        3.9007384        2.4800000        3.1957260        1.8900000        1.7871473
      89      30       3    1997        3.4200000        3.8457983        2.4800000        3.0864012        1.7900000        1.5960554
      90      31       3    1997        3.1300000        3.7419812        2.2600000        2.8560637        1.7100000        1.4155030
      91       1       4    1997        2.8500000        3.5601134        2.0600000        2.5703502        1.4900000        1.2699194
      92       2       4    1997        2.6700000        3.2973256        1.9600000        2.3043327        1.4900000        1.1462688
      93       3       4    1997        2.6700000        3.0265969        1.9600000        2.1644363        1.3800000        1.1151560
      94       4       4    1997        2.4100000        2.7863681        1.8600000        2.0564213        1.4900000        1.0851196
      95       5       4    1997        2.4100000        2.6840984        1.7700000        2.1929207        1.4900000        1.4103707
      96       6       4    1997        2.4100000        2.6448714        1.9600000        2.3310553        1.7900000        1.3904878
      97       7       4    1997        2.1700000        2.6570816        1.7700000        2.3520240        1.3800000        1.2299978
      98       8       4    1997        1.9400000        2.6897060        1.5900000        2.2079092        1.2000000        1.1108971
      99       9       4    1997        1.8700000        2.6499970        1.5900000        2.0054943        1.1100000        1.0092373
     100      10       4    1997        1.7300000        2.5126255        1.3400000        1.8205304        1.0200000        0.9219666
     101      11       4    1997        1.7300000        2.3208410        1.2600000        1.6904604        1.0200000        0.9246026
     102      12       4    1997        1.8000000        2.1296298        1.2600000        1.6039311        0.9500000        0.8800933
     103      13       4    1997        1.5900000        1.9745148        1.2600000        1.5260047        0.9500000        0.8108205
     104      14       4    1997        1.5900000        1.8573561        1.1100000        1.4418752        0.9500000        0.7701307
     105      15       4    1997        1.6600000        1.7567374        1.1100000        1.3563291        0.8700000        0.7205812
     106      16       4    1997        1.6600000        1.6590520        1.0400000        1.2734002        0.8000000        0.6713049
     107      17       4    1997        1.5900000        1.5615018        1.0400000        1.1925374        0.8000000        0.6280022
     108      18       4    1997        1.5900000        1.4711138        0.9700000        1.1380990        0.8000000        0.6250571
     109      19       4    1997        1.5900000        1.3945187        0.9700000        1.1280021        0.7400000        0.6221271
     110      20       4    1997        1.5200000        1.3398288        0.9700000        1.1064913        0.6700000        0.5933976
     111      21       4    1997        1.4300000        1.3027195        0.8300000        1.0653861        0.6700000        0.5590936
     112      22       4    1997        1.4300000        1.2668780        0.8300000        1.0113642        0.6700000        0.5286496
     113      23       4    1997        1.4300000        1.2205222        0.8300000        0.9565259        0.6200000        0.5015558
     114      24       4    1997        1.2500000        1.1645897        0.7700000        0.9064683        0.6200000        0.4773706
     115      25       4    1997        1.3400000        1.1141039        0.7700000        0.9299375        0.5100000        0.5622648
     116      26       4    1997        1.3400000        1.0845346        0.7700000        0.9703174        0.5600000        0.5803327
     117      27       4    1997        1.3400000        1.0869719        0.7700000        1.0021476        0.5600000        0.5861451
     118      28       4    1997        1.3400000        1.1145320        0.9700000        1.0174882        0.6700000        0.6503920
     119      29       4    1997        1.5200000        1.1562767        0.9700000        1.0615229        0.8000000        0.7214337
     120      30       4    1997        1.5200000        1.1910654        0.9700000        1.1061208        0.8000000        0.7138650
     121       1       5    1997        1.4300000        1.2202216        0.8300000        1.1131494        0.6700000        0.6605676
     122       2       5    1997        1.3400000        1.2429137        0.7700000        1.0728434        0.6200000        0.6152295
     123       3       5    1997        1.2500000        1.2395491        0.7000000        1.0101953        0.6700000        0.5756907
     124       4       5    1997        1.1700000        1.2040081        0.7000000        0.9493871        0.6700000        0.5410547
     125       5       5    1997        1.2500000        1.1628877        0.8300000        0.9842426        0.8000000        0.7100388
     126       6       5    1997        1.5200000        1.7592626        0.9000000        1.5280535        0.9500000        1.0087343
     127       7       5    1997        1.7300000        2.1529130        1.1100000        1.4568088        1.1100000        0.9609508
     128       8       5    1997        1.5900000        1.8814339        1.0400000        1.5069136        0.8700000        0.8373610
     129       9       5    1997        1.4300000        1.6961423        0.9000000        1.4150073        0.8000000        0.7932137
     130      10       5    1997        1.4300000        1.6421863        0.9000000        1.3079841        0.8000000        0.7729642
     131      11       5    1997        1.4300000        1.5748014        0.7700000        1.2315091        0.7400000        0.7268879
     132      12       5    1997        1.4300000        1.4828732        0.7000000        1.1672818        0.7400000        0.6719533
     133      13       5    1997        1.2500000        1.3929209        0.7000000        1.0969990        0.5600000        0.6243946
     134      14       5    1997        1.1000000        1.3763520        0.7000000        1.0457125        0.5600000        0.5883744
     135      15       5    1997        1.1000000        1.2927722        0.6400000        0.9902247        0.5600000        0.5521494
     136      16       5    1997        1.1000000        1.1947500        0.7000000        0.9347388        0.5600000        0.5199569
     137      17       5    1997        1.0200000        1.1312227        0.6400000        0.8828584        0.5600000        0.4916027
     138      18       5    1997        0.9500000        1.0946845        0.7700000        1.0111928        0.6200000        0.6361005
     139      19       5    1997        1.2500000        1.0829458        1.1800000        1.0285663        0.6700000        0.5945168
     140      20       5    1997        1.5900000        1.6876197        0.8300000        1.0381959        0.5600000        0.5442474
     141      21       5    1997        1.1700000        1.7363921        0.8300000        0.9777884        0.6700000        0.5244685
     142      22       5    1997        1.1700000        1.4409893        0.8300000        1.1112612        0.7400000        0.5422978
     143      23       5    1997        1.2500000        1.5459764        0.9000000        1.0645586        0.6200000        0.5242592
     144      24       5    1997        1.1000000        1.4986849        0.8300000        0.9686882        0.5600000        0.4924041
     145      25       5    1997        1.0200000        1.2889908        0.7000000        0.9197033        0.5600000        0.4672751
     146      26       5    1997        0.9500000        1.1591165        0.5900000        0.8711292        0.5600000        0.4450684
     147      27       5    1997        0.9500000        1.0875234        0.5900000        0.8340887        0.5600000        0.4300951
     148      28       5    1997        0.8900000        1.0327935        0.5900000        0.7989459        0.5600000        0.4131034
     149      29       5    1997        0.8900000        0.9858434        0.5900000        0.7644815        0.5600000        0.3964863
     150      30       5    1997        0.8900000        0.9430265        0.5900000        0.7312905        0.4200000        0.3815127
     151      31       5    1997        0.8300000        0.9027986        0.4800000        0.7007220        0.3800000        0.3681571
     152       1       6    1997        0.7100000        0.8649788        0.4300000        0.6736735        0.3800000        0.3570994
     153       2       6    1997        0.6600000        0.8300408        0.4800000        0.6497823        0.3800000        0.3461649
     154       3       6    1997        0.6600000        0.7984237        0.4300000        0.6276039        0.3800000        0.3359475
     155       4       6    1997        0.6100000        0.7699493        0.4300000        0.6067924        0.3800000        0.3266354
     156       5       6    1997        0.6100000        0.7439739        0.4300000        0.5876174        0.3800000        0.3181279
     157       6       6    1997        0.6100000        0.7199975        0.3900000        0.5700742        0.3000000        0.3103372
     158       7       6    1997        0.6100000        0.6978856        0.3900000        0.5540158        0.3000000        0.3031864
     159       8       6    1997        0.5100000        0.6776004        0.3500000        0.5392803        0.3000000        0.2966117
     160       9       6    1997        0.5100000        0.6590236        0.3100000        0.5257267        0.2700000        0.2905496
     161      10       6    1997        0.5100000        0.6419877        0.3100000        0.5132302        0.2700000        0.2849441
     162      11       6    1997        0.5100000        0.6263282        0.3100000        0.5016798        0.2100000        0.2797529
     163      12       6    1997        0.6100000        0.8620377        0.2700000        0.4917861        0.1900000        0.2750456
     164      13       6    1997        0.6600000        0.9925316        0.2700000        0.4827588        0.1900000        0.2713945
     165      14       6    1997        0.6600000        0.7767911        0.3100000        0.4926962        0.2400000        0.3050925
     166      15       6    1997        0.7100000        0.6206615        0.3900000        0.5095366        0.2700000        0.2829194
     167      16       6    1997        0.6600000        0.5972797        0.3500000        0.4987312        0.2400000        0.2697081
     168      17       6    1997        0.6100000        0.5986147        0.3100000        0.4742491        0.2100000        0.2653669
     169      18       6    1997        0.6100000        0.5908119        0.3100000        0.4605079        0.2100000        0.2619010
     170      19       6    1997        0.6100000        0.5744269        0.3500000        0.4520817        0.2400000        0.2599072
     171      20       6    1997        0.6600000        0.6108673        0.3500000        0.4460130        0.2400000        0.2570220
     172      21       6    1997        0.6600000        0.6436428        0.3500000        0.4576847        0.2700000        0.3405474
     173      22       6    1997        0.6600000        0.5971265        0.4800000        0.4869932        0.3400000        0.3076851
     174      23       6    1997        0.7100000        0.5656397        0.4300000        0.4949414        0.3000000        0.2688150
     175      24       6    1997        0.7100000        0.5733558        0.3500000        0.4710055        0.2700000        0.2675192
     176      25       6    1997        0.7100000        0.5758582        0.3500000        0.4477610        0.3400000        0.2631482
     177      26       6    1997        0.5100000        0.5660248        0.3100000        0.4582999        0.2400000        0.2727888
     178      27       6    1997        0.5100000        0.7082930        0.4300000        0.5587999        0.3400000        0.3687969
     179      28       6    1997        0.6600000        0.8145473        0.7000000        0.5220411        0.4200000        0.3273863
     180      29       6    1997        0.7100000        0.7225827        0.4800000        0.5208701        0.3400000        0.2946441
     181      30       6    1997        0.6600000        0.6381560        0.4300000        0.4935721        0.3400000        0.2991938
     182       1       7    1997        0.6600000        0.6094534        0.3900000        0.4900966        0.3400000        0.2963433
     183       2       7    1997        0.7100000        0.5964322        0.4800000        0.5087512        0.3400000        0.3119975
     184       3       7    1997        0.6600000        0.5914209        0.3900000        0.5047098        0.3400000        0.3050087
     185       4       7    1997        0.6600000        0.5926952        0.3500000        0.4901596        0.3400000        0.2922621
     186       5       7    1997        0.7100000        0.5901057        0.3500000        0.4752332        0.3000000        0.2845696
     187       6       7    1997        0.5100000        0.5792170        0.3100000        0.4622717        0.2400000        0.2772108
     188       7       7    1997        0.4100000        0.5645400        0.3100000        0.4506452        0.2400000        0.2705292
     189       8       7    1997        0.4100000        0.5502393        0.3100000        0.4403589        0.2400000        0.2644434
     190       9       7    1997        0.4100000        0.5373581        0.3100000        0.4308691        0.2400000        0.2588830
     191      10       7    1997        0.4100000        0.5257657        0.2700000        0.4221365        0.2100000        0.2537874
